Car_Name,Year,Selling_Price,Present_Price,Kms_Driven,Fuel_Type,Seller_Type,Transmission,Owner
ritz,2014,3.35,5.59,27000,Petrol,Dealer,Manual,0
sx4,2013,4.75,9.54,43000,Diesel,Dealer,Manual,0
ciaz,2017,7.25,9.85,6900,Petrol,Dealer,Manual,0
wagon r,2011,2.85,4.15,5200,Petrol,Dealer,Manual,0
swift,2014,4.60,6.87,42450,Diesel,Dealer,Manual,0
vitara brezza,2018,9.25,9.83,2071,Diesel,Dealer,Manual,0
ciaz,2015,6.75,8.12,18796,Petrol,Dealer,Manual,0
s cross,2015,6.50,8.61,33429,Diesel,Dealer,Manual,0
ciaz,2016,8.75,8.89,20273,Diesel,Dealer,Manual,0
alto 800,2015,2.50,3.60,2135,Petrol,Dealer,Manual,0
baleno,2016,5.95,7.87,28569,Petrol,Dealer,Manual,0
city,2015,7.50,10.38,51000,Diesel,Dealer,Manual,0
city,2016,8.25,11.25,30800,Petrol,Dealer,Automatic,0
brio,2013,4.00,5.90,25000,Petrol,Dealer,Manual,0
amaze,2015,5.50,7.50,32000,Diesel,Dealer,Manual,0
jazz,2016,6.00,8.20,18000,Petrol,Dealer,Manual,0
verna,2014,6.10,9.40,45000,Diesel,Dealer,Manual,0
i20,2017,5.75,7.10,15000,Petrol,Dealer,Manual,0
creta,2018,11.25,13.60,12000,Diesel,Dealer,Manual,0
ecosport,2016,7.80,10.00,35000,Diesel,Dealer,Manual,0
